ZIP,Territory_Name,Region_Name
33157,"Miami, FL",South
33158,"Miami, FL",South
33159,"Miami, FL",South
33160,"Miami, FL",South
33161,"Miami, FL",South
33162,"Miami, FL",South
33163,"Miami, FL",South
33164,"Miami, FL",South
33165,"Miami, FL",South
33166,"Miami, FL",South
33167,"Miami, FL",South
33168,"Miami, FL",South
33169,"Miami, FL",South
33170,"Miami, FL",South
33172,"Miami, FL",South
33173,"Miami, FL",South
33174,"Miami, FL",South
33175,"Miami, FL",South
33176,"Miami, FL",South
33177,"Miami, FL",South
33178,"Miami, FL",South
33179,"Miami, FL",South
33180,"Miami, FL",South
33181,"Miami, FL",South
33182,"Miami, FL",South
33183,"Miami, FL",South
33184,"Miami, FL",South
33185,"Miami, FL",South
33186,"Miami, FL",South
33187,"Miami, FL",South
33188,"Miami, FL",South
33189,"Miami, FL",South
33190,"Miami, FL",South
33191,"Miami, FL",South
33192,"Miami, FL",South
33193,"Miami, FL",South
33194,"Miami, FL",South
33195,"Miami, FL",South
33196,"Miami, FL",South
33197,"Miami, FL",South
33198,"Miami, FL",South
33199,"Miami, FL",South
33206,"Miami, FL",South
33222,"Miami, FL",South
33231,"Miami, FL",South
33233,"Miami, FL",South
33234,"Miami, FL",South
33238,"Miami, FL",South
33239,"Miami, FL",South
33242,"Miami, FL",South
33243,"Miami, FL",South
33245,"Miami, FL",South
33247,"Miami, FL",South
33255,"Miami, FL",South
33256,"Miami, FL",South
33257,"Miami, FL",South
33261,"Miami, FL",South
33265,"Miami, FL",South
33266,"Miami, FL",South
33269,"Miami, FL",South
33280,"Miami, FL",South
33283,"Miami, FL",South
33296,"Miami, FL",South
33299,"Miami, FL",South
33301,"Miami, FL",South
33302,"Miami, FL",South
33303,"Miami, FL",South
33304,"Miami, FL",South
33305,"Miami, FL",South
33306,"Miami, FL",South
33307,"Miami, FL",South
33308,"Miami, FL",South
33309,"Miami, FL",South
33310,"Miami, FL",South
33311,"Miami, FL",South
33312,"Miami, FL",South
33313,"Miami, FL",South
33314,"Miami, FL",South
33315,"Miami, FL",South
33316,"Miami, FL",South
33317,"Miami, FL",South
33318,"Miami, FL",South
33319,"Miami, FL",South
33320,"Miami, FL",South
33321,"Miami, FL",South
33322,"Miami, FL",South
33323,"Miami, FL",South
33324,"Miami, FL",South
33325,"Miami, FL",South
33326,"Miami, FL",South
33327,"Miami, FL",South
33328,"Miami, FL",South
33329,"Miami, FL",South
33330,"Miami, FL",South
33331,"Miami, FL",South
33332,"Miami, FL",South
33334,"Miami, FL",South
33335,"Miami, FL",South
33336,"Miami, FL",South
33337,"Miami, FL",South
33338,"Miami, FL",South
33339,"Miami, FL",South
33340,"Miami, FL",South
33345,"Miami, FL",South
33346,"Miami, FL",South
33348,"Miami, FL",South
33349,"Miami, FL",South
33351,"Miami, FL",South
33355,"Miami, FL",South
33359,"Miami, FL",South
33388,"Miami, FL",South
33394,"Miami, FL",South
33442,"Miami, FL",South
49728,"Milwaukee, WI",West
49748,"Milwaukee, WI",West
49762,"Milwaukee, WI",West
49768,"Milwaukee, WI",West
49793,"Milwaukee, WI",West
49801,"Milwaukee, WI",West
49802,"Milwaukee, WI",West
49805,"Milwaukee, WI",West
49806,"Milwaukee, WI",West
49807,"Milwaukee, WI",West
49808,"Milwaukee, WI",West
49812,"Milwaukee, WI",West
49814,"Milwaukee, WI",West
49815,"Milwaukee, WI",West
49816,"Milwaukee, WI",West
49817,"Milwaukee, WI",West
49818,"Milwaukee, WI",West
49819,"Milwaukee, WI",West
49820,"Milwaukee, WI",West
49821,"Milwaukee, WI",West
49822,"Milwaukee, WI",West
49825,"Milwaukee, WI",West
49826,"Milwaukee, WI",West
49827,"Milwaukee, WI",West
49829,"Milwaukee, WI",West
49831,"Milwaukee, WI",West
49833,"Milwaukee, WI",West
49834,"Milwaukee, WI",West
49835,"Milwaukee, WI",West
49836,"Milwaukee, WI",West
49837,"Milwaukee, WI",West
49838,"Milwaukee, WI",West
49839,"Milwaukee, WI",West
49840,"Milwaukee, WI",West
49841,"Milwaukee, WI",West
49845,"Milwaukee, WI",West
49847,"Milwaukee, WI",West
49848,"Milwaukee, WI",West
49849,"Milwaukee, WI",West
49852,"Milwaukee, WI",West
49853,"Milwaukee, WI",West
49854,"Milwaukee, WI",West
49855,"Milwaukee, WI",West
49858,"Milwaukee, WI",West
49861,"Milwaukee, WI",West
49862,"Milwaukee, WI",West
49863,"Milwaukee, WI",West
49864,"Milwaukee, WI",West
49865,"Milwaukee, WI",West
49866,"Milwaukee, WI",West
49868,"Milwaukee, WI",West
49870,"Milwaukee, WI",West
49871,"Milwaukee, WI",West
49872,"Milwaukee, WI",West
49873,"Milwaukee, WI",West
49874,"Milwaukee, WI",West
49876,"Milwaukee, WI",West
49877,"Milwaukee, WI",West
49878,"Milwaukee, WI",West
49879,"Milwaukee, WI",West
49880,"Milwaukee, WI",West
49881,"Milwaukee, WI",West
49883,"Milwaukee, WI",West
49884,"Milwaukee, WI",West
49885,"Milwaukee, WI",West
49886,"Milwaukee, WI",West
49887,"Milwaukee, WI",West
49891,"Milwaukee, WI",West
49892,"Milwaukee, WI",West
49893,"Milwaukee, WI",West
49894,"Milwaukee, WI",West
49895,"Milwaukee, WI",West
49896,"Milwaukee, WI",West
49901,"Milwaukee, WI",West
49902,"Milwaukee, WI",West
49903,"Milwaukee, WI",West
49905,"Milwaukee, WI",West
49908,"Milwaukee, WI",West
49910,"Milwaukee, WI",West
49911,"Milwaukee, WI",West
49912,"Milwaukee, WI",West
49913,"Milwaukee, WI",West
49915,"Milwaukee, WI",West
49916,"Milwaukee, WI",West
49917,"Milwaukee, WI",West
49918,"Milwaukee, WI",West
49919,"Milwaukee, WI",West
49920,"Milwaukee, WI",West
49921,"Milwaukee, WI",West
49922,"Milwaukee, WI",West
49925,"Milwaukee, WI",West
49927,"Milwaukee, WI",West
49929,"Milwaukee, WI",West
49930,"Milwaukee, WI",West
49931,"Milwaukee, WI",West
49934,"Milwaukee, WI",West
49935,"Milwaukee, WI",West
49938,"Milwaukee, WI",West
49942,"Milwaukee, WI",West
49945,"Milwaukee, WI",West
49946,"Milwaukee, WI",West
49947,"Milwaukee, WI",West
49948,"Milwaukee, WI",West
49950,"Milwaukee, WI",West
49952,"Milwaukee, WI",West
49953,"Milwaukee, WI",West
49955,"Milwaukee, WI",West
49958,"Milwaukee, WI",West
49959,"Milwaukee, WI",West
49960,"Milwaukee, WI",West
49961,"Milwaukee, WI",West
49962,"Milwaukee, WI",West
49963,"Milwaukee, WI",West
